organization;key;uuid;name;long_name;path
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/types.ts;AXscIZWQgvBR8f1ouMer;types.ts;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/types.ts;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/types.ts
brave;brave_brave-core:components/brave_new_tab_ui/components/popupMenu/index.tsx;AX6SRA-wgOKOeDXXVviA;index.tsx;components/brave_new_tab_ui/components/popupMenu/index.tsx;components/brave_new_tab_ui/components/popupMenu/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/accounts-list.tsx;AXscIZWQgvBR8f1ouMep;accounts-list.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/accounts-list.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/accounts-list.tsx
brave;brave_brave-core:components/web-components/input/index.tsx;AYAjoWfGF3rg56pYrrjp;index.tsx;components/web-components/input/index.tsx;components/web-components/input/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/index.tsx;AXscIZWQgvBR8f1ouMeq;index.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/index.tsx;components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/index.tsx
brave;brave_brave-core:build/mac/tweak_info_plist.py;AXCqlRlmsJcONJe09tZw;tweak_info_plist.py;build/mac/tweak_info_plist.py;build/mac/tweak_info_plist.py
brave;brave_brave-core:chromium_src/python_modules/tools/json_schema_compiler/feature_compiler_helper.py;AX6wucb_Aar9w_a4lM9h;feature_compiler_helper.py;chromium_src/python_modules/tools/json_schema_compiler/feature_compiler_helper.py;chromium_src/python_modules/tools/json_schema_compiler/feature_compiler_helper.py
brave;brave_brave-core:components/brave_rewards/resources/internals/components/walletHistory.tsx;AXx0qCE3auDB7WzrSizY;walletHistory.tsx;components/brave_rewards/resources/internals/components/walletHistory.tsx;components/brave_rewards/resources/internals/components/walletHistory.tsx
brave;brave_brave-core:tools/win/generate_breakpad_symbols.py;AXCqlRlmsJcONJe09tZq;generate_breakpad_symbols.py;tools/win/generate_breakpad_symbols.py;tools/win/generate_breakpad_symbols.py
brave;brave_brave-core:components/brave_shields/resources/panel/components/tree-list/tree-node.tsx;AX9hXvNspaHZ15FD1Yiy;tree-node.tsx;components/brave_shields/resources/panel/components/tree-list/tree-node.tsx;components/brave_shields/resources/panel/components/tree-list/tree-node.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/extension/buttons/nav-button/style.ts;AXhMPz0LOI70BsRYZdUB;style.ts;components/brave_wallet_ui/components/extension/buttons/nav-button/style.ts;components/brave_wallet_ui/components/extension/buttons/nav-button/style.ts
brave;brave_brave-core:tools/posix/generate_breakpad_symbols.py;AXCqlRlmsJcONJe09tZo;generate_breakpad_symbols.py;tools/posix/generate_breakpad_symbols.py;tools/posix/generate_breakpad_symbols.py
brave;brave_brave-core:PRESUBMIT.py;AYGBwOoJHv7qLKC3aWQ2;PRESUBMIT.py;PRESUBMIT.py;PRESUBMIT.py
brave;brave_brave-core:components/brave_private_new_tab_ui/resources/page/private_new_tab.html;AYGm6gytWdr4r1mw1ziC;private_new_tab.html;components/brave_private_new_tab_ui/resources/page/private_new_tab.html;components/brave_private_new_tab_ui/resources/page/private_new_tab.html
brave;brave_brave-core:script/chromium_presubmit_overrides.py;AYGBwOoJHv7qLKC3aWQ1;chromium_presubmit_overrides.py;script/chromium_presubmit_overrides.py;script/chromium_presubmit_overrides.py
brave;brave_brave-core:components/brave_wallet_ui/utils/object-utils.test.ts;AYLr5quxRLBfEi8xMMEm;object-utils.test.ts;components/brave_wallet_ui/utils/object-utils.test.ts;components/brave_wallet_ui/utils/object-utils.test.ts
brave;brave_brave-core:components/brave_wallet_ui/stories/wallet-extension-panels.tsx;AXhMPz0LOI70BsRYZdUO;wallet-extension-panels.tsx;components/brave_wallet_ui/stories/wallet-extension-panels.tsx;components/brave_wallet_ui/stories/wallet-extension-panels.tsx
brave;brave_brave-core:components/brave_wallet_ui/nft/components/nft-details/nft-details.tsx;AYJFxakMwtoZflRq8glO;nft-details.tsx;components/brave_wallet_ui/nft/components/nft-details/nft-details.tsx;components/brave_wallet_ui/nft/components/nft-details/nft-details.tsx
brave;brave_brave-core:components/brave_wallet_ui/utils/string-utils.test.ts;AX2iiQ07wakKrVHzovAj;string-utils.test.ts;components/brave_wallet_ui/utils/string-utils.test.ts;components/brave_wallet_ui/utils/string-utils.test.ts
brave;brave_brave-core:components/brave_wallet_ui/panel/container.tsx;AXlc9PsWJMyDOHohwGT_;container.tsx;components/brave_wallet_ui/panel/container.tsx;components/brave_wallet_ui/panel/container.tsx
brave;brave_brave-core:components/brave_wallet_ui/common/async/lib.ts;AXynZJp4LofdjzfSNpBo;lib.ts;components/brave_wallet_ui/common/async/lib.ts;components/brave_wallet_ui/common/async/lib.ts
brave;brave_brave-core:components/common/hashStrings.ts;AXWo5Hli18NU4sH0GdX0;hashStrings.ts;components/common/hashStrings.ts;components/common/hashStrings.ts
brave;brave_brave-core:components/brave_wallet_ui/components/buy-send-swap/create-account/index.tsx;AYDOscJDBWH9f955Shrg;index.tsx;components/brave_wallet_ui/components/buy-send-swap/create-account/index.tsx;components/brave_wallet_ui/components/buy-send-swap/create-account/index.tsx
brave;brave_brave-core:components/common/events.ts;AXWo5Hli18NU4sH0GdX3;events.ts;components/common/events.ts;components/common/events.ts
brave;brave_brave-core:components/brave_wallet_ui/common/hardware/ledgerjs/ledger-messaging-transport.ts;AYI4CXELe9kOfUrk-SFu;ledger-messaging-transport.ts;components/brave_wallet_ui/common/hardware/ledgerjs/ledger-messaging-transport.ts;components/brave_wallet_ui/common/hardware/ledgerjs/ledger-messaging-transport.ts
brave;brave_brave-core:script/lib/changelog.py;AXCqlRllsJcONJe09tVR;changelog.py;script/lib/changelog.py;script/lib/changelog.py
brave;brave_brave-core:components/common/Background.ts;AXWo5Hli18NU4sH0GdX5;Background.ts;components/common/Background.ts;components/common/Background.ts
brave;brave_brave-core:components/brave_wallet_ui/common/hardware/ledgerjs/fil-ledger-untrusted-transport.ts;AYLlWOEMbKnicTKV0D9j;fil-ledger-untrusted-transport.ts;components/brave_wallet_ui/common/hardware/ledgerjs/fil-ledger-untrusted-transport.ts;components/brave_wallet_ui/common/hardware/ledgerjs/fil-ledger-untrusted-transport.ts
brave;brave_brave-core:components/brave_wallet_ui/utils/pricing-utils.test.ts;AYLxImAYmvz5JIGZseT2;pricing-utils.test.ts;components/brave_wallet_ui/utils/pricing-utils.test.ts;components/brave_wallet_ui/utils/pricing-utils.test.ts
brave;brave_brave-core:script/lib/github.py;AXCqlRllsJcONJe09tVL;github.py;script/lib/github.py;script/lib/github.py
brave;brave_brave-core:components/brave_new_tab_ui/stories/regular.tsx;AXgjKp7BZ_gIhQ5Iwk8g;regular.tsx;components/brave_new_tab_ui/stories/regular.tsx;components/brave_new_tab_ui/stories/regular.tsx
