key;rule;severity;component;project;hash;status;effort;debt;creation_date;update_date;close_date;type;resolution;assignee
AXDJeoZGHxoWp820-wPX;python:S112;MAJOR;brave_brave-core:script/build-bisect.py;brave_brave-core;a9de3063a2a8e05ac1953578888dd7c0;OPEN;20min;20min;2019-03-13T00:15:13+0100;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXJWId8kw1GFd-OGLlxU;python:S2208;CRITICAL;brave_brave-core:script/build-bisect.py;brave_brave-core;9b42dcb1f336b8b9487a1f95fafb6ae4;OPEN;5min;5min;2019-03-13T00:14:46+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AXCqlSxMsJcONJe09tdf;python:S1854;MAJOR;brave_brave-core:script/build-bisect.py;brave_brave-core;60252ab9ca49b4fb25be1b20fa9ca453;OPEN;15min;15min;2019-03-13T00:14:46+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSxMsJcONJe09tde;python:S1854;MAJOR;brave_brave-core:script/build-bisect.py;brave_brave-core;ea25c1fdcd7bd604572be5716553076e;OPEN;15min;15min;2019-03-13T00:14:46+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXDJeoZHHxoWp820-wPY;python:S112;MAJOR;brave_brave-core:script/build-bisect.py;brave_brave-core;6ace9510e3ab8ea4fb9ec7c282f18e9f;OPEN;20min;20min;2019-03-13T00:14:46+0100;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXDJeoZHHxoWp820-wPZ;python:S112;MAJOR;brave_brave-core:script/build-bisect.py;brave_brave-core;5a4f523a9ae0df31f3f857b0c0b3fd90;OPEN;20min;20min;2019-03-13T00:14:46+0100;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXCqlSNlsJcONJe09tap;Web:S5254;MAJOR;brave_brave-core:components/brave_rewards/resources/internals/brave_rewards_internals.html;brave_brave-core;166248a6129a1e4370d20adc2d4c23f3;OPEN;2min;2min;2019-03-05T16:32:15+0100;2021-12-02T13:02:11+0100;;BUG;;
AYBHW2g47tprN78T37Q0;css:S4653;BLOCKER;brave_brave-core:browser/resources/settings/brave_clear_browsing_data_dialog/brave_clear_browsing_data_on_exit_page.html;brave_brave-core;bffb7f3113ec613e5655fd86cfc6debb;OPEN;5min;5min;2019-03-01T04:42:45+0100;2022-05-04T11:29:57+0200;;BUG;;
AXCqlSr6sJcONJe09tbt;python:S1192;CRITICAL;brave_brave-core:script/lib/github.py;brave_brave-core;f62a0d147bdd291e65798b3d794f0138;OPEN;6min;6min;2019-02-25T06:55:10+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlS0hsJcONJe09teO;css:S4649;MAJOR;brave_brave-core:ui/webui/resources/br_elements/br_toolbar/br_toolbar.html;brave_brave-core;1ed61f7bcab179b770449628b8c1daea;OPEN;1min;1min;2019-02-21T22:05:38+0100;2020-03-05T13:01:18+0100;;BUG;;
AXCqlS0RsJcONJe09teM;javascript:S1481;MINOR;brave_brave-core:ui/webui/resources/br_elements/br_toolbar/br_toolbar.ts;brave_brave-core;fa2e75c58b0db3b73a6aaefc39c8b48b;CLOSED;5min;5min;2019-02-21T22:05:38+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;
AXCqlS0RsJcONJe09teN;javascript:S1854;MAJOR;brave_brave-core:ui/webui/resources/br_elements/br_toolbar/br_toolbar.ts;brave_brave-core;fa2e75c58b0db3b73a6aaefc39c8b48b;CLOSED;15min;15min;2019-02-21T22:05:38+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;
AXCqlS0GsJcONJe09teL;css:S4649;MAJOR;brave_brave-core:ui/webui/resources/br_elements/br_toolbar/br_toolbar_search_field.html;brave_brave-core;1ed61f7bcab179b770449628b8c1daea;OPEN;1min;1min;2019-02-21T22:05:38+0100;2020-03-05T13:01:18+0100;;BUG;;
AXelesJ_btYYmN5cwm1U;javascript:S1135;INFO;brave_brave-core:ui/webui/resources/br_elements/br_toolbar/br_toolbar_search_field.ts;brave_brave-core;2d6ae05ee780c5ceb55eed6a852e5e4b;CLOSED;0min;0min;2019-02-21T22:05:38+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;
AXDJeob_HxoWp820-wPe;python:S112;MAJOR;brave_brave-core:script/uplift.py;brave_brave-core;019a36077fef4dbd154f4cd87c0ece32;OPEN;20min;20min;2019-02-13T21:45:11+0100;2020-03-11T12:41:59+0100;;CODE_SMELL;;
AXDJeob_HxoWp820-wPd;python:S112;MAJOR;brave_brave-core:script/uplift.py;brave_brave-core;6164b8774575557f2fc62c81dcec0503;OPEN;20min;20min;2019-02-13T19:09:16+0100;2020-03-11T12:41:59+0100;;CODE_SMELL;;
AX_Vkfb0a0k3Hx8XNri9;python:S1135;INFO;brave_brave-core:script/lib/github.py;brave_brave-core;752a024ccd91a416d483507d1a3c8001;OPEN;0min;0min;2019-02-13T19:09:04+0100;2022-03-29T14:02:38+0200;;CODE_SMELL;;bsclifton@github
AX_Vkfb0a0k3Hx8XNri-;python:S1135;INFO;brave_brave-core:script/lib/github.py;brave_brave-core;7e21d906fa96f56d6f802a12a7ee5518;OPEN;0min;0min;2019-02-13T19:09:04+0100;2022-03-29T14:02:38+0200;;CODE_SMELL;;bsclifton@github
AXJWIeALw1GFd-OGLlxV;python:S2208;CRITICAL;brave_brave-core:script/uplift.py;brave_brave-core;9b42dcb1f336b8b9487a1f95fafb6ae4;OPEN;5min;5min;2019-02-13T19:09:04+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AX_VkfeIa0k3Hx8XNrjD;python:S1135;INFO;brave_brave-core:script/uplift.py;brave_brave-core;9dcb5be854dbc6fa3486875f3a71b610;OPEN;0min;0min;2019-02-13T19:09:04+0100;2022-03-29T14:02:38+0200;;CODE_SMELL;;bsclifton@github
AX_VkfdCa0k3Hx8XNrjA;python:S1172;MAJOR;brave_brave-core:script/create-signed-installer.py;brave_brave-core;0c9c404776e0337898584f34241cd3ce;OPEN;5min;5min;2019-01-30T03:32:58+0100;2022-03-29T14:02:38+0200;;CODE_SMELL;;
AX_Vkfdpa0k3Hx8XNrjB;python:S1172;MAJOR;brave_brave-core:script/test/githubmock.py;brave_brave-core;f9cb1fafeadf8cfddff00ad453bd75c7;OPEN;5min;5min;2019-01-16T00:27:10+0100;2022-03-29T14:02:38+0200;;CODE_SMELL;;bsclifton@github
AXCqlSwWsJcONJe09tdM;python:S1481;MINOR;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;52a74b73be828a04697d939757d024c6;OPEN;5min;5min;2019-01-15T23:12:33+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSvwsJcONJe09tcy;python:S1542;MAJOR;brave_brave-core:script/deps.py;brave_brave-core;2505c289ef9cecd5aff95a2f173738d0;OPEN;10min;10min;2019-01-10T11:13:08+0100;2020-09-01T16:52:07+0200;;CODE_SMELL;;
AXCqlSvwsJcONJe09tc2;python:S1542;MAJOR;brave_brave-core:script/deps.py;brave_brave-core;4a835010f80ef941549b6aa4689a24a2;OPEN;10min;10min;2019-01-10T11:13:08+0100;2020-09-01T16:52:07+0200;;CODE_SMELL;;
AXCqlSvwsJcONJe09tc3;python:S1542;MAJOR;brave_brave-core:script/deps.py;brave_brave-core;f0196bd15e6a2fd93d79e40c7d257c7e;OPEN;10min;10min;2019-01-10T11:13:08+0100;2020-09-01T16:52:07+0200;;CODE_SMELL;;
AXJWId6kw1GFd-OGLlxS;python:S2208;CRITICAL;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;9b42dcb1f336b8b9487a1f95fafb6ae4;OPEN;5min;5min;2019-01-09T22:49:07+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
